control_id,layer,context,metric,expected,actual,difference,tolerance,status,source
STRUCT-001,datos,global,celdas_cohorte_horizonte,120,120,0,0,PASS,seguimiento_*.csv.gz
CELL-2012-9-EducacionSuperior,medidas,cohorte=2012;horizonte=9,EducacionSuperior,579,579,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-9,invariantes,cohorte=2012;horizonte=9,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-10-Base,medidas,cohorte=2012;horizonte=10,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-10-Carrera,medidas,cohorte=2012;horizonte=10,Carrera,13,13,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-10-Institucion,medidas,cohorte=2012;horizonte=10,Institucion,93,93,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-10-EducacionSuperior,medidas,cohorte=2012;horizonte=10,EducacionSuperior,629,629,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-10,invariantes,cohorte=2012;horizonte=10,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-11-Base,medidas,cohorte=2012;horizonte=11,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-11-Carrera,medidas,cohorte=2012;horizonte=11,Carrera,15,15,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-11-Institucion,medidas,cohorte=2012;horizonte=11,Institucion,79,79,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-11-EducacionSuperior,medidas,cohorte=2012;horizonte=11,EducacionSuperior,631,631,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-11,invariantes,cohorte=2012;horizonte=11,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-12-Base,medidas,cohorte=2012;horizonte=12,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-12-Carrera,medidas,cohorte=2012;horizonte=12,Carrera,13,13,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-12-Institucion,medidas,cohorte=2012;horizonte=12,Institucion,73,73,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-12-EducacionSuperior,medidas,cohorte=2012;horizonte=12,EducacionSuperior,590,590,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-12,invariantes,cohorte=2012;horizonte=12,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-13-Base,medidas,cohorte=2012;horizonte=13,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-13-Carrera,medidas,cohorte=2012;horizonte=13,Carrera,9,9,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-13-Institucion,medidas,cohorte=2012;horizonte=13,Institucion,54,54,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-13-EducacionSuperior,medidas,cohorte=2012;horizonte=13,EducacionSuperior,568,568,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-13,invariantes,cohorte=2012;horizonte=13,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-14-Base,medidas,cohorte=2012;horizonte=14,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-14-Carrera,medidas,cohorte=2012;horizonte=14,Carrera,2,2,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-14-Institucion,medidas,cohorte=2012;horizonte=14,Institucion,43,43,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-14-EducacionSuperior,medidas,cohorte=2012;horizonte=14,EducacionSuperior,554,554,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-14,invariantes,cohorte=2012;horizonte=14,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-1-Base,medidas,cohorte=2013;horizonte=1,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-1-Carrera,medidas,cohorte=2013;horizonte=1,Carrera,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-1-Institucion,medidas,cohorte=2013;horizonte=1,Institucion,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-1-EducacionSuperior,medidas,cohorte=2013;horizonte=1,EducacionSuperior,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-1,invariantes,cohorte=2013;horizonte=1,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-2-Base,medidas,cohorte=2013;horizonte=2,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-2-Carrera,medidas,cohorte=2013;horizonte=2,Carrera,4210,4210,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-2-Institucion,medidas,cohorte=2013;horizonte=2,Institucion,5178,5178,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-2-EducacionSuperior,medidas,cohorte=2013;horizonte=2,EducacionSuperior,5626,5626,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-2,invariantes,cohorte=2013;horizonte=2,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-3-Base,medidas,cohorte=2013;horizonte=3,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-3-Carrera,medidas,cohorte=2013;horizonte=3,Carrera,2951,2951,0,0,PASS,resultados_control.csv vs seguimiento
